acceptor,tin_reagents,ring_b1,ring_b2,chain1,chain2,PCE
BTP-eC9,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cc(*)c(*)s1,-,*C#N,21.71615219116211
BTP-eC9,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cc(*)c(*)s1,-,*Cl,21.69736862182617
BTP-eC9,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cc(*)c(*)s1,-,*C#N,21.64600372314453
BTP-eC9,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1ccc(*)s1,-,-,21.63942527770996
BTP-eC9,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cc(*)c(*)s1,-,*Cl,21.61363983154297
Y6,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cc(*)c(*)s1,-,*C#N,21.59532165527344
Y7,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cc(*)c(*)s1,-,*C#N,21.582632064819336
BTP-eC9,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1ccc(*)s1,-,-,21.565120697021484
Y7,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cc(*)c(*)s1,-,*Cl,21.544818878173828
Y6,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cc(*)c(*)s1,-,*Cl,21.537330627441406
Y6,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cc(*)c(*)s1,-,*C#N,21.5195426940918
Y7,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cc(*)c(*)s1,-,*C#N,21.510766983032227
L8-BO,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*c1cc(*)c(*)s1,-,*C#N,21.509735107421875
