acceptor,tin_reagents,ring_b1,ring_b2,chain1,chain2,PCE
ITIC-Th1,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1cc(*)c(*)s1,*c1sc(*)c2c1C(=O)c1c(CC(CC)CCCC)sc(CC(CC)CCCC)c1C2=O,*Cl,-,19.162342071533203
ITIC-Th1,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1cc(*)c(*)s1,*c1sc(*)c2c1C(=O)c1c(CC(CC)CCCC)sc(CC(CC)CCCC)c1C2=O,*C#N,-,19.01685333251953
ITIC-Th1,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1cc(*)c(*)s1,*c1sc(*)c2c1C(=O)c1c(CC(CC)CCCC)sc(CC(CC)CCCC)c1C2=O,*Cl,-,18.994848251342773
ITIC-Th1,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1cc(*)c(*)s1,*c1sc(*)c2c1C(=O)c1c(CC(CC)CCCC)sc(CC(CC)CCCC)c1C2=O,*C#N,-,18.84717559814453
ITIC-Th1,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1cc(*)c(*)s1,*c1cc2c3nccnc3c3cc(*)sc3c2s1,*Cl,-,18.73695182800293
ITIC-Th1,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1cc(*)c(*)s1,*c1cc2c3nsnc3c3cc(*)sc3c2s1,*Cl,-,18.683744430541992
ITIC-Th1,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1cc(*)c(*)s1,*c1cc2c3nccnc3c3cc(*)sc3c2s1,*Cl,-,18.64499855041504
ITIC-Th1,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1cc(*)c(*)s1,*c1cc2c3nsnc3c3cc(*)sc3c2s1,*Cl,-,18.599658966064453
O-IDTBR,*c1cc2c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c2s1,*c1cc2c(=O)n(*)c(=O)c3cc(*)sc3c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*CC(CCCC)CCCCCC,-,18.58141326904297
O-IDTBR,*c1cc2c(-c3cc(F)c(CC(CC)CCCC)s3)c3sc(*)cc3c(-c3cc(F)c(CC(CC)CCCC)s3)c2s1,*c1cc2c(=O)n(*)c(=O)c3cc(*)sc3c2s1,*c1c(F)c(F)c(*)c2nc(OCC(CCCCCC)CCCCCCCC)c(C)nc12,*CC(CCCC)CCCCCC,-,18.530593872070312
